56,48
56,29
61,18
86,18
93,18
98,18
101,18
103,18
115,22
115,23
115,34
115,42
115,49
115,56
115,62
115,66
115,76
115,92
115,99
115,114
106,121
105,121
101,121
98,121
89,121
81,114
81,111
81,103
81,102
81,98
81,93
81,70
81,56
81,51
81,48
84,45
105,56
105,63
105,68
105,74
98,74
97,74
96,74
89,74
84,74
81,74
65,74
56,74
42,72
42,67
42,66
42,52
42,38
52,36
53,36
59,36
61,36
69,36
74,36
74,42
74,54
74,64
74,65
74,70
74,74
70,77
67,77
65,77
60,77
58,77
56,77
55,77
46,77
43,77
42,77
35,71
35,67
35,66
35,61
35,38
35,29
35,27
35,24
35,22
35,21
38,21
43,21
44,21
45,21
47,21
53,21
58,21
61,21
64,21
68,21
69,21
71,21
74,21
75,21
76,21
78,21
83,21
86,21
98,21
101,21
103,21
106,21
108,21
108,22
108,23
108,28
108,34
108,38
108,42
108,47
108,56
108,59
108,63
108,66
108,68
108,73
108,74
108,76
108,77
89,88
83,88
81,88
67,88
64,88
55,88
46,88
42,88
33,88
35,74
40,75
40,77
40,83
40,88
40,98
27,113
26,113
21,113
17,92
17,91
17,87
17,73
35,50
46,50
47,50
51,50
52,50
61,50
68,50
70,50
74,50
75,50
82,50
84,50
86,50
91,50
93,50
94,50
100,50
105,50
106,50
106,56
106,59
106,63
105,65
97,65
96,65
89,65
84,65
83,65
81,65
76,65
70,65
67,65
65,65
64,65
58,65
56,65
55,65
51,65
48,65
47,65
46,65
43,65
42,65
41,65
40,65
38,65
35,65
32,65
31,65
29,65
26,65
24,61
24,50
24,48
35,40
44,40
47,40
51,40
52,40
58,40
61,40
64,40
68,40
70,40
74,40
75,40
76,40
84,40
86,40
88,42
88,46
88,50
88,54
88,59
88,64
88,65
88,68
88,72
88,73
88,74
88,75
88,77
88,88
81,95
64,95
62,72
62,71
62,70
62,67
70,64
74,64
82,64
84,64
88,64
101,65
101,72
101,73
101,74
101,75
101,76
101,77
101,88
96,89
89,89
83,89
81,89
76,89
75,72
75,71
75,70
75,68
75,67
75,66
75,64
82,62
84,62
88,62
91,62
94,62
99,65
99,72
99,73
99,74
99,75
99,76
99,77
99,89
99,94
96,97
89,97
81,97
76,97
75,97
64,97
62,97
65,96
70,96
73,97
73,98
73,101
64,111
44,111
42,111
39,111
39,103
39,98
39,74
39,72
39,71
39,67
39,66
39,64
39,61
39,52
39,50
39,48
46,44
47,44
51,44
52,44
53,44
57,46
57,50
57,51
57,54
57,56
57,57
57,63
57,64
57,65
57,68
57,70
57,74
57,75
57,77
56,79
55,79
51,79
48,79
46,79
43,79
42,79
39,79
35,79
33,79
33,74
33,64
33,61
33,50
33,48
33,44
33,40
33,38
33,37
33,29
33,27
33,25
33,24
33,22
33,21
33,19
33,18
38,15
40,15
44,15
47,15
53,15
61,15
64,15
69,15
74,15
83,15
84,15
86,15
88,15
93,15
101,15
103,15
108,15
115,15
117,16
117,22
117,23
117,24
117,30
117,34
117,37
117,42
117,47
117,49
117,56
117,59
117,61
117,62
117,63
117,65
117,66
117,68
117,73
117,74
117,76
117,77
111,85
98,85
96,85
83,85
81,85
75,85
71,84
71,72
71,71
71,70
71,68
71,67
71,64
71,62
71,61
71,56
71,52
71,51
71,50
71,49
71,48
71,45
71,43
74,42
75,42
76,42
81,42
84,42
86,42
88,42
91,42
94,42
99,42
100,42
101,42
103,42
105,42
108,42
115,42
117,42
122,42
123,42
123,43
123,49
123,50
123,52
123,56
120,57
119,57
116,57
112,57
111,57
110,57
107,57
105,57
100,57
97,57
93,57
86,57
84,57
83,57
81,57
78,57
76,57
75,57
72,57
71,57
70,57
67,57
65,57
64,57
62,52
62,50
62,49
62,48
62,45
62,43
62,41
62,40
62,37
62,36
62,34
62,32
62,31
64,30
68,30
69,30
70,30
74,30
75,30
76,30
83,30
84,30
86,30
88,30
89,30
91,30
93,30
94,30
98,30
100,30
101,30
102,30
102,33
102,34
102,37
